Original ID,Name,Reference,DOI,Year,Journal,Kingdom,Genus,Species,State,Location,SMILES
FQNP124,4-methoxy-benzyl_alcohol,J_Ethnopharmacol_2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal_of_Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium_macrobulbon,Guerrero,Acahuizotla,COc1ccc(CO)cc1
FQNP125,4-hydroxybenzaldehyde,J_Ethnopharmacol_2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal_of_Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium_macrobulbon,Guerrero,Acahuizotla,O=Cc1ccc(O)cc1
FQNP126,1_5_7-trimethoxy-9_10-dihydrophenanthrene-2_6-diol,J_Ethnopharmacol_2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal_of_Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium_macrobulbon,Guerrero,Acahuizotla,COc1cc2c(c(OC)c1O)-c1ccc(O)c(OC)c1CC2
FQNP127,Confusarin,J_Ethnopharmacol_2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal_of_Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium_macrobulbon,Guerrero,Acahuizotla,COc1cc2ccc3c(OC)c(O)ccc3c2c(OC)c1O
FQNP128,Ephemeranthol_B,J_Ethnopharmacol_2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal_of_Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium_macrobulbon,Guerrero,Acahuizotla,COc1cc2ccc3cc(O)ccc3c2c(OC)c1O
FQNP129,Gigantol,J_Ethnopharmacol_2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal_of_Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium_macrobulbon,Guerrero,Acahuizotla,COc1cc(O)cc(CCc2ccc(O)c(OC)c2)c1
FQNP130,Batatasin_III,J_Ethnopharmacol_2014;154(3):790-7,10.1016/j.jep.2014.05.006,2014,Journal_of_Ethnopharmacology,Plant,Cyrtopodium,Cyrtopodium_macrobulbon,Guerrero,Acahuizotla,COc1cc(O)cc(CCc2cccc(O)c2)c1
FQNP131,Retusin,J_Agric_Food_Chem_2015_63_(37):8106-8115,10.1021/acs.jafc.5b02842,2015,Journal_of_Agricultural_and_Food_Chemistry,Plant,Croton,Croton_ciliatoglanduliferus,Not_specified,Not_specified,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(OC)c(OC)c3)oc2c1
FQNP132,Paquipodol,J_Agric_Food_Chem_2015_63_(37):8106-8115,10.1021/acs.jafc.5b02842,2015,Journal_of_Agricultural_and_Food_Chemistry,Plant,Croton,Croton_ciliatoglanduliferus,Not_specified,Not_specified,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(O)c(OC)c3)oc2c1
FQNP133,Chaetomin,Planta_Med_2014;80-PG16,10.1055/s-0034-1382605,2014,Planta_Medica,Fungus,Chaetomium,Chaetomium_globosum,Not_specified,Not_specified,CN1C(=O)[C@]2(Cc3cn([C@]45C[C@@]67SS[C@@](CO)(C(=O)N6[C@H]4Nc4ccccc45)N(C)C7=O)c4ccccc34)SS[C@@]1(CO)C(=O)N2C
FQNP134,Thielavin-A,Planta_Med_2013;79-PL35,10.1055/s-0033-1348676,2013,Planta_Medica,Fungus,MEXU,MEXU_27095,Not_specified,Not_specified,Cc1cc(O)c(C)c(O)c1C(=O)Oc1c(C)c(C)c(C(=O)Oc2c(C)c(C)c(C(=O)O)c(O)c2C)c(O)c1C
FQNP135,Thielavin-J,Planta_Med_2013;79-PL35,10.1055/s-0033-1348676,2013,Planta_Medica,Fungus,MEXU,MEXU_27095,Not_specified,Not_specified,COc1c(C)c(OC(=O)c2c(C)cc(O)c(C)c2O)c(C)c(C)c1C(=O)Oc1cc(C)c(C(=O)O)c(O)c1C
FQNP136,Thielavin-K,Planta_Med_2013;79-PL35,10.1055/s-0033-1348676,2013,Planta_Medica,Fungus,MEXU,MEXU_27095,Not_specified,Not_specified,COc1c(C)c(OC(=O)c2c(C)cc(O)c(C)c2O)c(C)c(C)c1C(=O)Oc1c(C)c(C)c(C(=O)O)c(O)c1C
FQNP137,5-O-[b-D-apiofuranosyl-(1-6)-b-D-glucopyranosyl]-7-methoxy-3'_4'-dihydroxy-4-phenylcoumarin,J_Ethnopharmacol_2013;145(2):530-5,10.1016/j.jep.2012.11.025,2013,Journal_of_Ethnopharmacology,Plant,Hintonia,Hintonia_standleyana,Guerrero,Analco,COc1cc(O[C@@H]2O[C@H](CO[C@@H]3OC[C@](O)(CO)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c2c(-c3ccc(O)c(O)c3)cc(=O)oc2c1
FQNP138,Chlorogenic_acid,J_Ethnopharmacol_2013;145(2):530-5,10.1016/j.jep.2012.11.025,2013,Journal_of_Ethnopharmacology,Plant,Hintonia,Hintonia_standleyana,Guerrero,Analco,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O
FQNP139,Kaempferitrin,J_Ethnopharmacol_2012;143(2):455-62,10.1016/j.jep.2012.06.043,2012,Journal_of_Ethnopharmacology,Plant,Justicia,Justicia_spicigera,San_Luis_Potosi,Ciudad_Valles,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)c(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@H](O)[C@H]1O
FQNP140,Vitexin,J_Ethnopharmacol_2012;142(3):857-64,10.1016/j.jep.2012.06.018,2012,Journal_of_Ethnopharmacology,Plant,Phoradendron,Phoradendron_serotinum,Nuevo_Leon,Santa_Catarina,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12
FQNP141,Masticadienonic_acid,J_Ethnopharmacol_2011;134(1):67-73,10.1016/j.jep.2010.11.057,2011,Journal_of_Ethnopharmacology,Plant,Amphipterygium,Amphipterygium_adstringens,Morelos,Barranca_Honda,C/C(=C/CC[C@@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C)C(=O)O
FQNP142,3a-hydroxymasticadienolic_acid,J_Ethnopharmacol_2011;134(1):67-73,10.1016/j.jep.2010.11.057,2011,Journal_of_Ethnopharmacology,Plant,Amphipterygium,Amphipterygium_adstringens,Morelos,Barranca_Honda,C/C(=C/CC[C@@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C)C(=O)O
FQNP143,b-amyrin,J_Ethnopharmacol_2011;134(1):67-73,10.1016/j.jep.2010.11.057,2011,Journal_of_Ethnopharmacology,Plant,Cyrtocarpa,Cyrtocarpa_procera,Morelos,Barranca_Honda,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1
FQNP144,b-sitosterol,J_Ethnopharmacol_2011;134(1):67-73,10.1016/j.jep.2010.11.057,2011,Journal_of_Ethnopharmacology,Plant,Cyrtocarpa,Cyrtocarpa_procera,Morelos,Barranca_Honda,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C
FQNP145,Hofmeisterin_III,J_Ethnopharmacol_2010;131(2):425-32,10.1016/j.jep.2010.07.009,2010,Journal_of_Ethnopharmacology,Plant,Hofmeisteria,Hofmeisteria_schaffneri,San_Luis_Potosi,San_Luis_Potosi,C/C=C/C(=O)Oc1cc(C)ccc1C(C)C
FQNP146,Thymol,J_Ethnopharmacol_2010;131(2):425-32,10.1016/j.jep.2010.07.009,2010,Journal_of_Ethnopharmacology,Plant,Hofmeisteria,Hofmeisteria_schaffneri,San_Luis_Potosi,San_Luis_Potosi,Cc1ccc(C(C)C)c(O)c1
FQNP147,8_9-epoxy-10-acetoxythymyl_angelate,J_Ethnopharmacol_2010;131(2):425-32,10.1016/j.jep.2010.07.009,2010,Journal_of_Ethnopharmacology,Plant,Hofmeisteria,Hofmeisteria_schaffneri,San_Luis_Potosi,San_Luis_Potosi,C/C=C(/C)C(=O)Oc1cc(C)ccc1C1(C(C)=O)CO1
FQNP148,6-[16'Z-nonadecenyl]_salicylic_acid,Nat_Prod_Res_2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural_Products_Research,Plant,Amphipterygium,Amphipterygium_adstringens,Not_specified,Not_specified,CC/C=C\CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O
FQNP149,6-[8'Z-pentadecenyl]_salicylic_acid,Nat_Prod_Res_2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural_Products_Research,Plant,Amphipterygium,Amphipterygium_adstringens,Not_specified,Not_specified,CCCCCC/C=C\CCCCCCCc1cccc(O)c1C(=O)O
FQNP150,6-nonadecyl_salicylic_acid,Nat_Prod_Res_2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural_Products_Research,Plant,Amphipterygium,Amphipterygium_adstringens,Not_specified,Not_specified,CCCCCCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O
FQNP151,6-pentadecyl_salicylic_acid,Nat_Prod_Res_2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural_Products_Research,Plant,Amphipterygium,Amphipterygium_adstringens,Not_specified,Not_specified,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O
FQNP152,Masticadienonic_acid,Nat_Prod_Res_2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural_Products_Research,Plant,Amphipterygium,Amphipterygium_adstringens,Not_specified,Not_specified,C/C(=C\CC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)C(=O)CC[C@]4(C)C3CC[C@@]12C)C(=O)O
FQNP153,3a-hydroxymasticadienoic_acid,Nat_Prod_Res_2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural_Products_Research,Plant,Amphipterygium,Amphipterygium_adstringens,Not_specified,Not_specified,C/C(=C\CC[C@H](C)[C@@H]1CC[C@]2(C)C3=CCC4C(C)(C)[C@H](O)CC[C@]4(C)C3CC[C@@]12C)C(=O)O
FQNP154,3-epioleanolic_acid,Nat_Prod_Res_2011;25(13):1282-7,10.1080/14786419.2010.534996,2011,Natural_Products_Research,Plant,Amphipterygium,Amphipterygium_adstringens,Not_specified,Not_specified,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CCC4[C@@]5(C)CC[C@@H](O)C(C)(C)C5CC[C@]43C)C2C1
FQNP155,Brevipolides_G,J_Nat_Prod_2013_76_(1):72-78,10.1021/np300740h,2013,Journal_of_Natural_Products,Plant,Hyptis,Hyptis_brevipes,Veracruz,Dos_Rıos,C[C@H](OC(=O)/C=C/c1ccc(O)cc1)C(=O)[C@H]1C[C@@H]1[C@H](O)[C@H]1CC=CC(=O)O1
FQNP156,Brevipolides_H,J_Nat_Prod_2013_76_(1):72-78,10.1021/np300740h,2013,Journal_of_Natural_Products,Plant,Hyptis,Hyptis_brevipes,Veracruz,Dos_Rıos,COc1ccc(/C=C/C(=O)O[C@@H](C)C(=O)[C@H]2C[C@@H]2[C@H](O)[C@H]2CC=CC(=O)O2)cc1
FQNP157,Brevipolides_I,J_Nat_Prod_2013_76_(1):72-78,10.1021/np300740h,2013,Journal_of_Natural_Products,Plant,Hyptis,Hyptis_brevipes,Veracruz,Dos_Rıos,COc1ccc(/C=C\C(=O)O[C@@H](C)C(=O)[C@H]2C[C@@H]2[C@H](O)[C@H]2CC=CC(=O)O2)cc1
FQNP158,Brevipolides_J,J_Nat_Prod_2013_76_(1):72-78,10.1021/np300740h,2013,Journal_of_Natural_Products,Plant,Hyptis,Hyptis_brevipes,Veracruz,Dos_Rıos,COc1ccc(/C=C/C(=O)O[C@@H](C)C(=O)[C@H]2C[C@@H]2[C@H](O)[C@H]2CC=CC(=O)O2)cc1O
FQNP159,6-acetyl-5-hydroxy-2_2-dimethyl-2H-chromene,J_Nat_Prod_2012_75_(5):968-974,10.1021/np300204p,2012,Journal_of_Natural_Products,Plant,Brickellia,Brickellia_cavanillesii,Morelos,Yecapixtla,CC(=O)c1ccc2c(c1O)C=CC(C)(C)O2
FQNP160,6-Acetoxyacetyl-5-hydroxy-2_2-dimethyl-2H-chromene,J_Nat_Prod_2012_75_(5):968-974,10.1021/np300204p,2012,Journal_of_Natural_Products,Plant,Brickellia,Brickellia_cavanillesii,Morelos,Yecapixtla,CC1(C)C=Cc2c(ccc(C(=O)CO)c2O)O1
FQNP161,Calein_B,J_Nat_Prod_2012_75_(5):968-974,10.1021/np300204p,2012,Journal_of_Natural_Products,Plant,Brickellia,Brickellia_cavanillesii,Morelos,Yecapixtla,C=C1C(=O)O[C@@H]2C[C@@H](C)/C=C\C(=O)[C@](C)(O)[C@H](OC(C)=O)[C@@H](OC(=O)/C(C)=C\C)[C@@H]12
FQNP164,Genkwanin,J_Nat_Prod_2012_75_(5):968-974,10.1021/np300204p,2012,Journal_of_Natural_Products,Plant,Brickellia,Brickellia_cavanillesii,Morelos,Yecapixtla,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1
FQNP165,Isorhamnetin,J_Nat_Prod_2012_75_(5):968-974,10.1021/np300204p,2012,Journal_of_Natural_Products,Plant,Brickellia,Brickellia_cavanillesii,Morelos,Yecapixtla,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O
FQNP166,Kaempferol,J_Nat_Prod_2012_75_(5):968-974,10.1021/np300204p,2012,Journal_of_Natural_Products,Plant,Brickellia,Brickellia_cavanillesii,Morelos,Yecapixtla,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
FQNP167,Quercetin,J_Nat_Prod_2012_75_(5):968-974,10.1021/np300204p,2012,Journal_of_Natural_Products,Plant,Brickellia,Brickellia_cavanillesii,Morelos,Yecapixtla,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
FQNP168,3_5-di-O-caffeoylquinic_acid,J_Nat_Prod_2012_75_(5):968-974,10.1021/np300204p,2012,Journal_of_Natural_Products,Plant,Brickellia,Brickellia_cavanillesii,Morelos,Yecapixtla,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1CC(O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1O
FQNP169,(Z)-6_6'_7_3'a-diligustilide,J_Nat_Prod_2011_74_(3):314-320,10.1021/np100447a,2011,Journal_of_Natural_Products,Plant,Ligusticum,Ligusticum_porteri,Chihuahua,Basigochi,CCC/C=C1\OC(=O)C2=C[C@H]3CC[C@]21C1C2=C(CC[C@H]13)/C(=C\CCC)OC2=O
FQNP170,(Z)-ligustilide,J_Nat_Prod_2011_74_(3):314-320,10.1021/np100447a,2011,Journal_of_Natural_Products,Plant,Ligusticum,Ligusticum_porteri,Chihuahua,Basigochi,CCC/C=C1/OC(=O)C2=C1CCC=C2
FQNP171,(Z)-3-butylidenephthalide,J_Nat_Prod_2011_74_(3):314-320,10.1021/np100447a,2011,Journal_of_Natural_Products,Plant,Ligusticum,Ligusticum_porteri,Chihuahua,Basigochi,CCC/C=C1/OC(=O)c2ccccc21
FQNP172,Myristicin,J_Nat_Prod_2011_74_(3):314-320,10.1021/np100447a,2011,Journal_of_Natural_Products,Plant,Ligusticum,Ligusticum_porteri,Chihuahua,barranca_Honda,C=CCc1cc(OC)c2c(c1)OCO2
FQNP173,Ferulic_acid,J_Nat_Prod_2011_74_(3):314-320,10.1021/np100447a,2011,Journal_of_Natural_Products,Plant,Ligusticum,Ligusticum_porteri,Chihuahua,Basigochi,COc1cc(/C=C/C(=O)O)ccc1O
FQNP174,Acremoxanthone_C,J_Nat_Prod_2013_76_(8):1454-1460,10.1021/np4002477,2013,Journal_of_Natural_Products,Fungus,Purpureocillium,Purpureocillium_lilacinum,Guerrero,Juxtlahuaca,COC(=O)[C@@]12Oc3c(c(O)cc4c3[C@@H]3C=C[C@]5(C4)C(=C(O)c4c(O)cc(C)cc4[C@@H]5OC(C)=O)C3=O)C(=O)C1=C(O)C=C[C@H]2O
FQNP175,Acremonidin_A,J_Nat_Prod_2013_76_(8):1454-1460,10.1021/np4002477,2013,Journal_of_Natural_Products,Fungus,Purpureocillium,Purpureocillium_lilacinum,Guerrero,Juxtlahuaca,COC(=O)c1c(O)ccc(O)c1C(=O)c1c(O)cc2c(c1O)[C@@H]1C=C[C@]3(C2)C(=C(O)c2c(O)cc(C)cc2[C@@H]3OC(C)=O)C1=O
FQNP182,Neoadenostylone,J_Nat_Prod_2012_75_(5):890-895,10.1021/np2009412,2012,Journal_of_Natural_Products,Plant,Packera,Packera_bellidifolia,Chihuahua,Creel_and_Bocoyna,C/C=C(/C)C(=O)O[C@@H]1c2c(C)coc2C(=O)C2=CCC[C@H](C)[C@]21C
FQNP183,6-(2-a-methylbutanoyloxy)-9-oxo-1(10)-furanoeremophilene,J_Nat_Prod_2012_75_(5):890-895,10.1021/np2009412,2012,Journal_of_Natural_Products,Plant,Packera,Packera_bellidifolia,Chihuahua,Creel_and_Bocoyna,CC[C@H](C)C(=O)O[C@H]1c2c(C)coc2C(=O)C2=CCC[C@H](C)[C@]21C
FQNP184,Epineoadenostylone,J_Nat_Prod_2012_75_(5):890-895,10.1021/np2009412,2012,Journal_of_Natural_Products,Plant,Packera,Packera_bellidifolia,Chihuahua,Creel_and_Bocoyna,C/C=C(/C)C(=O)O[C@H]1c2c(C)coc2C(=O)C2=CCC[C@H](C)[C@]21C
FQNP185,Epicacalone,J_Nat_Prod_2012_75_(5):890-895,10.1021/np2009412,2012,Journal_of_Natural_Products,Plant,Packera,Packera_bellidifolia,Chihuahua,Creel_and_Bocoyna,Cc1coc2c1[C@@](C)(O)C1=C(CCC[C@@H]1C)C2=O
FQNP186,2β-hydroxyneoadenostylone,J_Nat_Prod_2012_75_(5):890-895,10.1021/np2009412,2012,Journal_of_Natural_Products,Plant,Packera,Packera_bellidifolia,Chihuahua,Creel_and_Bocoyna,C/C=C(/C)C(=O)O[C@@H]1c2c(C)coc2C(=O)C2=C[C@H](O)C[C@H](C)[C@]21C
FQNP187,Corymbiferone_C,Phytochemistry_2013;96:273-8,10.1016/j.phytochem.2013.09.006,2013,Phytochemistry,Fungus,Sporormiella,Sporormiella_minimoides,Michoacan,Huetamo,COC1=CC(=O)c2c(C)cc(OC)c3c(=O)occ1c23
FQNP188,Corymbiferan_lactone_E,Phytochemistry_2013;96:273-8,10.1016/j.phytochem.2013.09.006,2013,Phytochemistry,Fungus,Sporormiella,Sporormiella_minimoides,Michoacan,Huetamo,COc1cc(C)c2c(OC)cc(O)c3c2c1C(=O)OC3OC
FQNP191,Ziganein,Phytochemistry_2013;96:273-8,10.1016/j.phytochem.2013.09.006,2013,Phytochemistry,Fungus,Sporormiella,Sporormiella_minimoides,Michoacan,Huetamo,Cc1cc(O)c2c(c1)C(=O)c1c(O)cccc1C2=O
FQNP192,Brocaenol_B,Phytochemistry_2013;96:273-8,10.1016/j.phytochem.2013.09.006,2013,Phytochemistry,Fungus,Sporormiella,Sporormiella_minimoides,Michoacan,Huetamo,COC(=O)[C@]12Oc3cccc(O)c3C(=O)C1=C(OC)OC=C(C)C2=O
FQNP193,Prunasin,Molecules_2015;20(8):15330-42,10.3390/molecules200815330,2015,Molecules,Plant,Vauquelinia,Vauquelinia_corymbosa,Chihuahua,San_Borja,N#C[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1
FQNP194,(-)-epi-catechin,Molecules_2015;20(8):15330-42,10.3390/molecules200815330,2015,Molecules,Plant,Vauquelinia,Vauquelinia_corymbosa,Chihuahua,San_Borja,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C2
FQNP195,Hyperoside,Molecules_2015;20(8):15330-42,10.3390/molecules200815330,2015,Molecules,Plant,Vauquelinia,Vauquelinia_corymbosa,Chihuahua,San_Borja,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
FQNP196,Isoquercetin,Molecules_2015;20(8):15330-42,10.3390/molecules200815330,2015,Molecules,Plant,Vauquelinia,Vauquelinia_corymbosa,Chihuahua,San_Borja,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
FQNP197,Quercitrin,Molecules_2015;20(8):15330-42,10.3390/molecules200815330,2015,Molecules,Plant,Vauquelinia,Vauquelinia_corymbosa,Chihuahua,San_Borja,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O
FQNP198,Quercetin-3-O-(6''-benzoyl)-b-galactoside,Molecules_2015;20(8):15330-42,10.3390/molecules200815330,2015,Molecules,Plant,Vauquelinia,Vauquelinia_corymbosa,Chihuahua,San_Borja,O=C(OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@H]1O)c1ccccc1
